GT	ChatGPT-3.5	ChatGPT-4	Gemini-1.5	LLAMA3-70B	LLAMA3-8B
CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-732	CWE-284	CWE-284	CWE-494	CWE-284	CWE-352
CWE-522	CWE-522	CWE-276	CWE-522	CWE-319	CWE-306
CWE-119	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120
CWE-74	CWE-918	CWE-1236	CWE-74	CWE-1232	CWE-89
CWE-476	CWE-404	CWE-476	CWE-476	CWE-476	CWE-20
CWE-787	CWE-119	CWE-122	CWE-120	CWE-120	CWE-120
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-787	CWE-787	CWE-787	CWE-122	CWE-787	CWE-787
CWE-77	CWE-78	CWE-77	CWE-77	CWE-78	CWE-78
CWE-22	CWE-22	CWE-22	CWE-434	CWE-22	CWE-22
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-121
CWE-400	CWE-121	CWE-674	CWE-121	CWE-674	CWE-399
CWE-125	CWE-125	CWE-125	CWE-125	CWE-126	CWE-20
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-119
CWE-131	CWE-119	CWE-131	CWE-131	CWE-131	CWE-120
CWE-59	CWE-22	CWE-59	CWE-664	CWE-59	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-1021	CWE-1021	CWE-1021	CWE-346	CWE-357	CWE-400
CWE-120	CWE-119	CWE-119	CWE-120	CWE-121	CWE-119
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-863	CWE-918	CWE-284	CWE-200	CWE-284	CWE-319
CWE-415	CWE-400	CWE-404	CWE-120	CWE-400	CWE-399
CWE-74	CWE-285	CWE-290	CWE-346	CWE-20	CWE-20
CWE-787	CWE-787	CWE-787	CWE-121	CWE-787	CWE-787
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-917	CWE-94	CWE-94	CWE-77	CWE-94	CWE-94
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-307	CWE-200	CWE-203	CWE-200	CWE-204	CWE-306
CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-787	CWE-787	CWE-787	CWE-122	CWE-787	CWE-787
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-787	CWE-119	CWE-119	CWE-125	CWE-131	CWE-190
CWE-611	CWE-611	CWE-611	CWE-611	CWE-611	CWE-611
CWE-330	CWE-321	CWE-321	CWE-327	CWE-798	CWE-798
CWE-77	CWE-93	CWE-114	CWE-707	CWE-20	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-294	CWE-287	CWE-294	CWE-294	CWE-294	CWE-287
CWE-78	CWE-78	CWE-78	CWE-78	CWE-88	CWE-20
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122
CWE-763	CWE-119	CWE-824	CWE-476	CWE-824	CWE-476
CWE-74	CWE-113	CWE-644	CWE-74	CWE-113	CWE-20
CWE-787	CWE-787	CWE-787	CWE-787	CWE-787	CWE-787
CWE-306	CWE-119	CWE-120	CWE-121	CWE-120	CWE-120
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-22	CWE-200	CWE-200	CWE-200	CWE-22	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-200	CWE-200	CWE-200	CWE-200	CWE-200	CWE-532
CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-369	CWE-369	CWE-369	CWE-369	CWE-369	CWE-369
CWE-22	CWE-98	CWE-98	CWE-73	CWE-73	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918
CWE-327	CWE-326	CWE-326	CWE-326	CWE-257	CWE-312
CWE-522	CWE-200	CWE-200	CWE-200	CWE-798	CWE-287
CWE-119	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-843	CWE-843	CWE-843	CWE-704	CWE-131	CWE-476
CWE-20	CWE-20	CWE-20	CWE-400	CWE-400	CWE-400
CWE-427	CWE-426	CWE-426	CWE-426	CWE-426	CWE-22
CWE-787	CWE-119	CWE-119	CWE-787	CWE-119	CWE-20
CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22
CWE-829	CWE-362	CWE-362	CWE-362	CWE-399	CWE-400
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125
CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-327	CWE-310	CWE-310	CWE-326	CWE-321	CWE-310
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125
CWE-312	CWE-312	CWE-312	CWE-312	CWE-256	CWE-312
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-284	CWE-20	CWE-20	CWE-434	CWE-116	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-319	CWE-319	CWE-319	CWE-311	CWE-311	CWE-312
CWE-200	CWE-384	CWE-330	CWE-330	CWE-321	CWE-310
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400
CWE-787	CWE-120	CWE-120	CWE-121	CWE-120	CWE-120
CWE-125	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-91	CWE-91	CWE-91	CWE-78	CWE-91	CWE-95
CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-824	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-601	CWE-601	CWE-601	CWE-601	CWE-601	CWE-601
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-611	CWE-611	CWE-611	CWE-611	CWE-611	CWE-611
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-843	CWE-119	CWE-704	CWE-706	CWE-704	CWE-20
CWE-667	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-20	CWE-119	CWE-20	CWE-434	CWE-20	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-200	CWE-200	CWE-598	CWE-200	CWE-598	CWE-200
CWE-79	CWE-79	CWE-79	CWE-79	CWE-434	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-20
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122
CWE-787	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22
